x plastic strain,x true stress,y plastic strain,y true stress
4.70E-05,3.70543,-4.24E-06,2.0464
4.56E-05,4.24226,-2.58E-06,1.48212
4.49E-05,4.40061,-3.76E-06,2.75265
4.53E-05,4.80208,-2.30E-06,1.4636
4.56E-05,4.50455,-3.99E-06,2.22274
4.50E-05,4.2465,-1.50E-06,2.33703
4.55E-05,4.36739,-2.27E-06,2.12565
4.47E-05,4.9417,-3.99E-06,2.56738
4.49E-05,4.81814,-1.81E-06,1.51583
4.45E-05,4.69256,-2.85E-06,3.27118
4.52E-05,4.78201,-1.65E-06,2.20757
4.42E-05,5.35074,-3.16E-06,2.71225
4.29E-05,5.6351,-2.16E-06,2.85489
4.47E-05,5.31104,-1.83E-06,2.08837
4.55E-05,5.14935,-3.99E-06,2.96225
4.42E-05,5.59184,-2.04E-06,1.68882
4.38E-05,5.72232,-3.61E-06,2.89104
4.35E-05,5.64827,-1.08E-06,2.58837
4.40E-05,5.75243,-1.94E-06,2.78881
4.35E-05,5.91413,-2.28E-06,3.34774
4.37E-05,6.09947,-1.71E-06,2.28257
4.30E-05,6.19916,-3.59E-06,3.37943
4.28E-05,6.37068,-1.39E-06,2.3569
4.36E-05,6.42198,-3.19E-06,3.16225
4.38E-05,6.26474,-1.51E-06,3.22944
4.24E-05,6.75229,-1.07E-06,3.11806
4.15E-05,6.9945,-2.09E-06,3.84238
4.33E-05,6.66331,-5.43E-07,2.51761
4.38E-05,6.68985,-2.66E-06,3.63569
4.18E-05,7.4988,-3.03E-07,3.24172
4.10E-05,7.39887,-7.36E-07,3.81404
4.16E-05,7.2084,-7.00E-07,3.69462
4.20E-05,7.51173,-3.36E-07,3.12409
4.13E-05,7.77157,-1.70E-06,4.44194
4.14E-05,7.75886,5.79E-07,3.29239
4.11E-05,7.86814,-1.14E-06,4.38971
4.08E-05,7.86524,9.15E-07,3.89128
4.10E-05,7.93952,2.83E-07,3.99463
4.17E-05,8.19312,-9.72E-07,4.40065
4.12E-05,8.26337,5.80E-07,3.33905
3.96E-05,8.71323,-6.24E-07,4.91516
3.95E-05,8.59256,2.44E-06,4.32254
4.06E-05,8.61354,3.83E-07,5.11718
3.94E-05,9.02348,6.57E-07,4.70847
3.91E-05,9.43387,6.80E-07,4.13927
3.95E-05,9.08236,8.15E-08,5.07521
4.00E-05,9.24273,1.46E-06,3.92253
3.97E-05,9.2773,-6.31E-07,5.08391
3.87E-05,9.65579,1.27E-06,4.43972
3.90E-05,9.87326,3.32E-07,4.7491
3.79E-05,9.97763,1.56E-06,5.36384
3.84E-05,9.93771,2.16E-06,4.66718
3.90E-05,9.97921,3.17E-07,5.74665
3.86E-05,10.27875,2.02E-06,4.50691
3.81E-05,10.58074,-6.82E-07,5.08525
3.78E-05,10.73129,1.48E-06,4.96272
3.91E-05,10.7496,1.00E-06,5.02075
3.70E-05,10.91017,1.76E-06,6.33484
3.72E-05,10.91329,2.34E-06,4.81585
3.77E-05,10.88452,2.85E-07,5.84888
3.77E-05,10.91932,3.36E-06,5.17233
3.73E-05,11.79097,1.10E-06,5.90938
3.66E-05,12.02427,2.35E-06,5.96251
3.69E-05,11.8987,2.46E-06,5.49041
3.58E-05,12.32559,1.50E-06,6.54488
3.52E-05,13.39933,4.02E-06,5.97904
3.50E-05,14.02609,2.38E-06,7.68553
3.43E-05,14.37961,3.60E-06,6.88285
3.27E-05,16.33998,2.13E-06,7.48263
3.25E-05,16.39373,2.78E-06,8.02282
3.23E-05,17.40728,4.44E-06,7.99917
2.97E-05,18.66838,4.64E-06,10.53697
2.88E-05,19.79212,5.68E-06,9.27712
2.85E-05,21.867,2.58E-06,10.49387
2.65E-05,22.77481,7.51E-06,11.91519
2.54E-05,24.99627,5.41E-06,12.26451
2.38E-05,27.18496,4.00E-06,13.66254
2.21E-05,29.18562,6.23E-06,13.93736
2.00E-05,31.77945,4.31E-06,16.51025
1.99E-05,34.12064,4.93E-06,15.98455
1.85E-05,37.0376,4.37E-06,18.65659
1.62E-05,39.73618,4.88E-06,20.17925
1.47E-05,43.67122,3.61E-06,20.75762
1.20E-05,46.71235,4.58E-06,24.57805
1.41E-05,50.44071,2.41E-06,23.72212
1.09E-05,54.41722,1.68E-06,27.66355
7.71E-06,59.02771,4.26E-06,29.431
8.51E-06,63.26016,1.04E-06,31.00698
7.06E-06,68.24189,2.22E-06,34.66104
6.75E-06,73.47535,1.52E-06,35.41312
3.85E-06,78.69141,1.06E-06,40.14861
3.34E-06,84.37559,3.26E-06,41.686
4.09E-06,90.71201,-1.16E-06,44.85129
1.67E-06,96.7208,2.47E-06,48.40276
2.58E-06,103.8919,4.15E-07,51.19316
7.15E-07,110.65552,-3.34E-07,56.10932
-6.59E-07,118.59609,2.03E-06,58.56536
3.46E-07,126.19476,-2.35E-06,62.65378
-6.09E-07,134.1055,2.68E-06,67.22871
1.93E-06,142.69411,-3.51E-06,69.73566
-2.24E-06,152.29262,1.47E-06,76.66011
6.09E-08,160.88532,-2.03E-07,79.00713
9.36E-10,170.43441,5.88E-07,86.30177
6.58E-07,181.12505,2.65E-06,89.89875
2.20E-06,191.6508,-3.08E-06,95.09901
7.02E-07,202.34678,1.70E-06,101.1735
2.27E-06,214.33115,6.80E-07,106.82731
2.20E-06,225.66573,3.98E-07,113.34734
3.67E-06,238.03788,1.91E-06,118.6578
5.68E-06,250.59637,-3.35E-06,125.08484
4.78E-06,264.43915,1.07E-07,131.37802
7.16E-06,277.9877,-3.11E-06,138.38316
8.07E-06,291.25477,-5.35E-08,146.32652
1.18E-05,306.78782,-4.15E-06,152.22676
1.26E-05,322.93827,-5.98E-06,161.22765
1.42E-05,337.95959,-3.10E-06,168.35917
1.80E-05,353.43918,-6.89E-06,177.02165
